cycle,timestamp,sp_W_pct,sp_D_pct,sp_L_pct,sp_positions,sp_unique,sp_entropy,sp_top1,loss,loss_policy,loss_value,eval_score,promoted,vs_random,vs_greedy,vs_bfs,t_selfplay_min,t_train_min,t_evalnet_min,t_evalbest_min,t_cycle_min
0,01:12:11,17.0,53.0,30.0,7313,198,7.62,2,1.3889,1.3323,0.0566,0.25,0,,,,30.3,1.5,5.6,0.0,37.4
1,01:49:38,14.5,58.0,27.5,7783,199,7.63,2,1.3419,1.2817,0.0602,0.1625,0,,,,31.8,3.4,7.4,0.0,42.6
2,02:32:13,17.5,58.5,24.0,7137,199,7.63,2,1.3847,1.316,0.0687,0.3375,0,,,,29.5,4.9,6.3,0.0,40.7
3,03:12:53,12.5,60.5,27.0,7114,197,7.61,2,1.496,1.4152,0.0808,0.525,1,,0.8,0.6,29.3,6.5,6.2,1.6,43.5
4,03:56:23,24.5,22.5,53.0,6301,198,7.62,2,1.4733,1.3922,0.081,0.5625,1,,0.8,0.6,48.2,6.4,7.4,0.9,62.8
5,04:59:13,38.5,19.0,42.5,6602,199,7.63,2,1.5227,1.4326,0.0901,0.7,1,,0.8,0.0,50.2,6.1,9.8,1.7,67.8
6,06:07:03,47.5,12.5,40.0,6328,184,7.36,13,1.5667,1.4625,0.1043,0.6125,1,,0.5,0.6,49.1,6.0,9.8,1.7,66.6
7,07:13:40,62.0,6.5,31.5,6001,171,7.32,4,1.5591,1.439,0.1201,0.4625,1,,0.9,0.6,45.5,5.8,9.9,1.4,62.6
8,08:16:16,67.0,11.0,22.0,5757,179,7.37,8,1.4933,1.3691,0.1242,0.825,1,,0.4,0.0,43.3,5.7,7.6,1.5,58.2
9,09:14:28,71.5,8.0,20.5,5702,161,6.94,18,1.415,1.2844,0.1306,0.95,1,,1.0,0.6,43.4,5.5,13.0,1.2,63.1
10,10:17:32,59.0,9.0,32.0,5804,147,6.72,15,1.3259,1.1916,0.1343,0.625,1,,0.4,0.0,43.8,5.9,11.0,1.8,62.5
11,11:26:13,53.0,12.5,34.5,5542,155,7.04,8,1.277,1.1401,0.1368,0.7625,1,,0.6,0.0,42.0,5.5,9.2,1.9,58.6
